symboling,normalized-losses,fuel-type,aspiration,num-of-doors,engine-location,wheel-base,length,width,height,curb-weight,num-of-cylinders,engine-size,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,hardtop,wagon,sedan,hatchback,convertible,4wd,fwd,rwd,dohc,dohcv,l,ohc,ohcf,ohcv,rotor,1bbl,2bbl,4bbl,idi,mfi,mpfi,spdi,spfi
3,122.0,1,0,0,0,88.60,168.80,64.10,48.80,2548,4,130,3.47,2.68,9.00,111,5000,21,27,13495,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,122.0,1,0,0,0,88.60,168.80,64.10,48.80,2548,4,130,3.47,2.68,9.00,111,5000,21,27,16500,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,122.0,1,0,0,0,94.50,171.20,65.50,52.40,2823,6,152,2.68,3.47,9.00,154,5000,19,26,16500,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2,164,1,0,1,0,99.80,176.60,66.20,54.30,2337,4,109,3.19,3.40,10.00,102,5500,24,30,13950,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2,164,1,0,1,0,99.40,176.60,66.40,54.30,2824,5,136,3.19,3.40,8.00,115,5500,18,22,17450,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2,122.0,1,0,0,0,99.80,177.30,66.30,53.10,2507,5,136,3.19,3.40,8.50,110,5500,19,25,15250,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,158,1,0,1,0,105.80,192.70,71.40,55.70,2844,5,136,3.19,3.40,8.50,110,5500,19,25,17710,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,122.0,1,0,1,0,105.80,192.70,71.40,55.70,2954,5,136,3.19,3.40,8.50,110,5500,19,25,18920,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,158,1,1,1,0,105.80,192.70,71.40,55.90,3086,5,131,3.13,3.40,8.30,140,5500,17,20,23875,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,122.0,1,1,0,0,99.50,178.20,67.90,52.00,3053,5,131,3.13,3.40,7.00,160,5500,16,22,13207.13,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2,192,1,0,0,0,101.20,176.80,64.80,54.30,2395,4,108,3.50,2.80,8.80,101,5800,23,29,16430,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,192,1,0,1,0,101.20,176.80,64.80,54.30,2395,4,108,3.50,2.80,8.80,101,5800,23,29,16925,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,188,1,0,0,0,101.20,176.80,64.80,54.30,2710,6,164,3.31,3.19,9.00,121,4250,21,28,20970,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
